citing_title	citing_context	citing_abs	citing_author	citing_doi	cited_title	cited_context	cited_abs	cited_author	cited_doi	category
Significances of exponential heating and Darcy's law for second grade fluid flow over oscillating plate by using Atangana-Baleanu fractional derivatives	Then Boussinesq's approximation, the governing equations of such flow in the form of partial differential equation will become as	The main aim of this study is to apply the recent definition of fractional derivative i.e. Atangana-Baleanu time-fractional derivative on second grade fluid flowing on an infinite plate under the MHD (magnetohydrodynamics) effect. The flow is studied under both Darcy's law and heat transfer. To find out the analytical solution, the Laplace transformation technique is utilized on the obtained non-dimensional governing equations momentum and heat equations with initial and boundary conditions. To enhance the innovation of this study, the graphical and numerical comparison of heat and momentum equation is analyzed with different parameters for different values. Main results and conclusions are accomplished at the end of this work. The increasing change in temperature profile is noticed with fractional parameter and Grashof number. The velocity profile increases with the Prandtl number while a reverse trend is noted for the temperature profile. 	Ying-Qing Song	10.1016/j.csite.2021.101266 	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 mg/ml). In in vivo model, the highest level of parasitemia suppression (<45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-b and down regulation of TNF-a in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development. 	L. Karthik 	10.1371/journal.pone.0090972 	bad
Global quantitative and qualitative assessment of drought research from 1861 to 2019	Such a dual approach moreover allows for the determination of national/international research interests as well as performance in a particular field (in this case droughts) in order to pre-inform national/international future research plans, priorities, fund allocations, and partnership outsourcing for collaborations, among other things	Over the last 150 years, there has been a dramatic increase in research focusing on droughts in every part of the world, due to their negative impacts on multiple sectors, the functioning of ecosystems and human wellbeing. However, our understanding of the long-term trends of drought-related research remains limited. Therefore, this study is aimed at providing a generalised quantitative and qualitative synthesis of drought-related research publications from 1861 to 2019 in the Scopus database, using bibliometric and science mapping analytics. Title-speciﬁc field drought-related articles were mined and analysed for explanatory characteristics to identify different research trends, global and national interests and their contributions’. The results of the synthesis revealed a total of 26,221 articles from 45,329 authors and 3181 journals. The annual research production in drought-related research thus exhibited a 7.87% annual growth rate during this period from 1861 to 2019. Drought as a central theme witnessed a mean growth rate (MGR) of 8170% in the last 3 years (2017–2019). The prevailing topics include drought tolerance, resilience, climate change, and drought resistance, which had MGRs of 1100%, 530%, 2030% and 70% in 2017–2019, respectively. With an MGR of 1030%, remote sensing appeared to be a widespread method used in the monitoring of meteorological drought (600%), agricultural drought (730%), and hydrological drought (330%). Four trending thematic areas identified in drought-related research from 1861 to 2019 were climate change-related; physiology and biochemistry in plant/herb photosynthesis; molecular genetics and mechanisms of drought impacts (stress), tolerance and resistance in crops/plants; and emerging concept related to the circadian rhythms of biological systems in drought conditions. It also emerged from an analysis of the thematic areas that drought-related research in South Africa focused on agriculture and food-security, water-security, environmental sustainability, socioeconomics (among others) during the relevant period. 	Olapeju Yewande Ekundayo	10.1016/j.ijdrr.2021.102770 	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 mg/ml). In in vivo model, the highest level of parasitemia suppression (<45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-b and down regulation of TNF-a in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development. 	L. Karthik 	10.1371/journal.pone.0090972 	bad
Depression, anxiety, stress and their associated factors among Ethiopian University students during an early stage of COVID-19 pandemic: An online-based cross-sectional survey	Those without clear information are liable to misinformation and there is a growing body of literature that reveals the link between misinformation and mental illness	The occurrence of the Coronavirus Disease 2019 (COVID-19) affects the mental health situation of almost everyone, including University students who spent most of their time at home due to the closure of the Universities. Therefore, this study aimed at assessing depression, anxiety, stress and identifying their associated factors among university students in Ethiopia during the early stage of the COVID-19 pandemic. We invited students to complete an online survey using Google forms comprising consent, socio-demographic characteristics, and the standard validated depression, anxiety, and stress scale (DASS-21) questionnaire. After completion of the survey from June 30 to July 30, 2020, we exported the data into SPSS 22. Both descriptive and analytical statistics were computed. Associated factors were identified using binary logistic regression and variables with a p-value <0.05 were declared as statistically significant factors with the outcome variables. A total of 423 students completed the online survey. The prevalence of depression, anxiety, and stress in this study was 46.3%, 52%, and 28.6%, respectively. In the multivariable model, female sex, poor self-efficacy to prevent COVID-19, those who do not read any material about COVID-19 prevention, lack of access to reading materials about their profession, and lack of access to uninterrupted internet access were significantly associated with depression. Female sex, lower ages, students with non-health-related departments, those who do not think that COVID-19 is preventable, and those who do not read any materials about COVID-19 prevention were significantly associated with anxiety. Whereas, being female, students attending 1st and 2nd years, those who do not think that COVID-19 is preventable, presence of confirmed COVID-19 patient at the town they are living in, and lack of access to reading materials about their profession were significantly associated with stress. Depression, anxiety, and stress level among University students calls for addressing these problems by controlling the modifiable factors identified and promoting psychological wellbeing of students.	Wudneh Simegn 	10.1371/journal.pone.0251670 	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 mg/ml). In in vivo model, the highest level of parasitemia suppression (<45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-b and down regulation of TNF-a in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development. 	L. Karthik 	10.1371/journal.pone.0090972 	bad
Transformers in Vision: A Survey	transformer models	Astounding results from Transformer models on natural language tasks have intrigued the vision community to study their application to computer vision problems. Among their salient benefits, Transformers enable modeling long dependencies between input sequence elements and support parallel processing of sequence as compared to recurrent networks e.g., Long short-term memory (LSTM). Different from convolutional networks, Transformers require minimal inductive biases for their design and are naturally suited as set-functions. Furthermore, the straightforward design of Transformers allows processing multiple modalities (e.g., images, videos, text and speech) using similar processing blocks and demonstrates excellent scalability to very large capacity networks and huge datasets. These strengths have led to exciting progress on a number of vision tasks using Transformer networks. This survey aims to provide a comprehensive overview of the Transformer models in the computer vision discipline. We start with an introduction to fundamental concepts behind the success of Transformers i.e., self-attention, large-scale pre-training, and bidirectional feature encoding. We then cover extensive applications of transformers in vision including popular recognition tasks (e.g., image classification, object detection, action recognition, and segmentation), generative modeling, multi-modal tasks (e.g., visual-question answering, visual reasoning, and visual grounding), video processing (e.g., activity recognition, video forecasting), low-level vision (e.g., image super-resolution, image enhancement, and colorization) and 3D analysis (e.g., point cloud classification and segmentation). We compare the respective advantages and limitations of popular techniques both in terms of architectural design and their experimental value. Finally, we provide an analysis on open research directions and possible future works. We hope this effort will ignite further interest in the community to solve current challenges towards the application of transformer models in computer vision. 	Salman Khan	10.1145/3505244 	Attention is all you need	We propose a new simple network architecture, the Transformer 	The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train. Our model achieves 28.4 BLEU on the WMT 2014 Englishto-German translation task, improving over the existing best results, including ensembles, by over 2 BLEU. On the WMT 2014 English-to-French translation task, our model establishes a new single-model state-of-the-art BLEU score of 41.8 after training for 3.5 days on eight GPUs, a small fraction of the training costs of the best models from the literature. We show that the Transformer generalizes well to other tasks by applying it successfully to English constituency parsing both with large and limited training data. 	Ashish Vaswani 	0	good
Highly accurate protein structure prediction with AlphaFold 	In parallel, the success of attention-based networks for language processing 	Proteins are essential to life, and understanding their structure can facilitate a mechanistic understanding of their function. Through an enormous experimental effort1,2,3,4, the structures of around 100,000 unique proteins have been determined5, but this represents a small fraction of the billions of known protein sequences6,7. Structural coverage is bottlenecked by the months to years of painstaking effort required to determine a single protein structure. Accurate computational approaches are needed to address this gap and to enable large-scale structural bioinformatics. Predicting the three-dimensional structure that a protein will adopt based solely on its amino acid sequence—the structure prediction component of the ‘protein folding problem’8—has been an important open research problem for more than 50 years9. Despite recent progress10,11,12,13,14, existing methods fall far short of atomic accuracy, especially when no homologous structure is available. Here we provide the first computational method that can regularly predict protein structures with atomic accuracy even in cases in which no similar structure is known. We validated an entirely redesigned version of our neural network-based model, AlphaFold, in the challenging 14th Critical Assessment of protein Structure Prediction (CASP14)15, demonstrating accuracy competitive with experimental structures in a majority of cases and greatly outperforming other methods. Underpinning the latest version of AlphaFold is a novel machine learning approach that incorporates physical and biological knowledge about protein structure, leveraging multi-sequence alignments, into the design of the deep learning algorithm.	John Jumper	10.1038/s41586-021-03819-2 	Attention is all you need	the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train. 	The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train. Our model achieves 28.4 BLEU on the WMT 2014 Englishto-German translation task, improving over the existing best results, including ensembles, by over 2 BLEU. On the WMT 2014 English-to-French translation task, our model establishes a new single-model state-of-the-art BLEU score of 41.8 after training for 3.5 days on eight GPUs, a small fraction of the training costs of the best models from the literature. We show that the Transformer generalizes well to other tasks by applying it successfully to English constituency parsing both with large and limited training data. 	Ashish Vaswani 	0	good
The Elderly’s Independent Living in Smart Homes: A Characterization of Activities and Sensing Infrastructure Survey to Facilitate Services Development	SWEET-HOME [21] is a nationally supported French research project that aims to design a new smart home system based on audio technology. This project has three main goals: providing an audio-based interaction technology that lets the users have full control over their home environment, detecting distress situations and easing the social inclusion of the elderly and frail population	Human activity detection within smart homes is one of the basis of unobtrusive wellness monitoring of a rapidly aging population in developed countries. Most works in this area use the concept of “activity” as the building block with which to construct applications such as healthcare monitoring or ambient assisted living. The process of identifying a specific activity encompasses the selection of the appropriate set of sensors, the correct preprocessing of their provided raw data and the learning/reasoning using this information. If the selection of the sensors and the data processing methods are wrongly performed, the whole activity detection process may fail, leading to the consequent failure of the whole application. Related to this, the main contributions of this review are the following: first, we propose a classification of the main activities considered in smart home scenarios which are targeted to older people’s independent living, as well as their characterization and formalized context representation; second, we perform a classification of sensors and data processing methods that are suitable for the detection of the aforementioned activities. Our aim is to help researchers and developers in these lower-level technical aspects that are nevertheless fundamental for the success of the complete application. 	Qin Ni	10.3390/s150511312 	Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects	The SWEET-HOME project aims at developing a new user friendly technology for home automation based on voice command. The project aims at designing a new smart home system and focuses on three main aspects: to provide assistance via natural man-machine interaction (voice and tactile command), to ease social inclusion and to provide security reassurance by detecting situations of distress.	Smart homes equipped with ambient intelligence technology constitute a promising direction to enable the growing number of elderly to continue to live in their own home as long as possible. However, this calls for technological solutions that suit their specific needs and capabilities. The SWEET-HOME project aims at developing a new user friendly technology for home automation based on voice command. This paper reports a user evaluation assessing the acceptance and fear of this new technology. Eight healthy persons between 71 and 88 years old, 7 relatives (child, grandchild or friend) and 3 professional carers participated in a user evaluation. During about 45 min, the persons were questioned in co-discovery in the DOMUS smart home alternating between interview and wizard of Oz periods followed by a debriefing. The experience aimed at testing four important aspects of the project: voice command, communication with the outside world, domotics system interrupting a person’s activity, and electronic agenda. Voice interface appeared to have a great potential to ease daily living for elderly and frail persons and would be better accepted than more intrusive solutions. By considering still healthy and independent elderly people in the user evaluation, an interesting finding that came up is their overall acceptance provided the system does not drive them to a lazy lifestyle by taking control of everything. This particular fear must be addressed for the development of smart homes that support daily living by giving them more ability to control rather than putting them away from the daily routine. 	François Portet	10.1007/s00779-011-0470-5 	good
Voice User Interfaces in Schools: Co-designing for Inclusion With Visually-Impaired and Sighted Pupils	Assessing the acceptability of a smart home equipped with a VUI by elderly people, Portet et al [38] showed that voice technology has a great potential to ease everyday life for the elderly 	Voice user interfaces (VUIs) are increasingly popular, particularly in homes. However, little research has investigated their potential in other settings, such as schools. We investigated how VUIs could support inclusive education, particularly for pupils with visual impairments (VIs). We organised focused discussions with educators at a school, with support staff from local authorities and, through bodystorming, with a class of 27 pupils. We then ran a series of co-design workshops with participants with mixed-visual abilities to design an educational VUI application. This provided insights into challenges faced by pupils with VIs in mainstream schools, and opened a space for educators, sighted and visually impaired pupils to reflect on and design for their shared learning experiences through VUIs. We present scenarios, a design space and an example application that show novel ways of using VUIs for inclusive education. We also reflect on co-designing with mixed-visual-ability groups in this space. 	Oussama Metatla	10.1145/3290605.3300608 	Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects	This paper reports a user evaluation assessing the acceptance and fear of this new technology. Voice interface appeared to have a great potential to ease daily living for elderly	Smart homes equipped with ambient intelligence technology constitute a promising direction to enable the growing number of elderly to continue to live in their own home as long as possible. However, this calls for technological solutions that suit their specific needs and capabilities. The SWEET-HOME project aims at developing a new user friendly technology for home automation based on voice command. This paper reports a user evaluation assessing the acceptance and fear of this new technology. Eight healthy persons between 71 and 88 years old, 7 relatives (child, grandchild or friend) and 3 professional carers participated in a user evaluation. During about 45 min, the persons were questioned in co-discovery in the DOMUS smart home alternating between interview and wizard of Oz periods followed by a debriefing. The experience aimed at testing four important aspects of the project: voice command, communication with the outside world, domotics system interrupting a person’s activity, and electronic agenda. Voice interface appeared to have a great potential to ease daily living for elderly and frail persons and would be better accepted than more intrusive solutions. By considering still healthy and independent elderly people in the user evaluation, an interesting finding that came up is their overall acceptance provided the system does not drive them to a lazy lifestyle by taking control of everything. This particular fear must be addressed for the development of smart homes that support daily living by giving them more ability to control rather than putting them away from the daily routine. 	François Portet	10.1007/s00779-011-0470-5 	good
A Review of Service Robots Coping With Uncertain Information in Natural Language Instructions	 Therefore, endowing robots with human-like voice communication capabilities will enhance the overall interaction between the robots and their users. This will ultimately increase the rapport between users and their robotic assistants, allowing users to receive more sophisticated service from their robot companions [21], [26] 	Intelligent service robots are currently being developed to cater to demands in emerging areas of robotic applications, ranging from entertainment to health care. These service robots are intended to be operated by nonexpert users, and their service tasks involve direct interaction between these robots and their human users. Thus, human-friendly interactive features are generally preferred for such service robots. Humans prefer to use voice instructions, responses, and suggestions to convey ideas to their peers. However, information conveyed through natural language communication is imprecise because it tends to contain uncertain/qualitative information instead of precise quantitative information. Therefore, the ability to cope with uncertain information in natural language instructions is mandatory for human-friendly service robots. This paper presents a review of service robots and systems that can cope with uncertain information in natural language instructions. The available literature has been investigated and analyzed to identify the limitations of the existing methods and possible improvements. The identified limitations and possible improvements are presented as the outcomes of the review. 	M. A. VIRAJ J. MUTHUGALA 	10.1109/ACCESS.2018.2808369 	Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects	However, the robot technology for smart homes is still a research area for which the arrival date of an affordable and robust solution is unknown. 	Smart homes equipped with ambient intelligence technology constitute a promising direction to enable the growing number of elderly to continue to live in their own home as long as possible. However, this calls for technological solutions that suit their specific needs and capabilities. The SWEET-HOME project aims at developing a new user friendly technology for home automation based on voice command. This paper reports a user evaluation assessing the acceptance and fear of this new technology. Eight healthy persons between 71 and 88 years old, 7 relatives (child, grandchild or friend) and 3 professional carers participated in a user evaluation. During about 45 min, the persons were questioned in co-discovery in the DOMUS smart home alternating between interview and wizard of Oz periods followed by a debriefing. The experience aimed at testing four important aspects of the project: voice command, communication with the outside world, domotics system interrupting a person’s activity, and electronic agenda. Voice interface appeared to have a great potential to ease daily living for elderly and frail persons and would be better accepted than more intrusive solutions. By considering still healthy and independent elderly people in the user evaluation, an interesting finding that came up is their overall acceptance provided the system does not drive them to a lazy lifestyle by taking control of everything. This particular fear must be addressed for the development of smart homes that support daily living by giving them more ability to control rather than putting them away from the daily routine. 	François Portet	10.1007/s00779-011-0470-5 	bad
Open AccessArticle A Novel Gesture Recognition System for Intelligent Interaction with a Nursing-Care Assistant Robot	Providing more natural and intelligent interaction modes [4,5] with the nursing-care assistant robots [6] is one of the frontiers of smart infrastructure development [7]. 	The expansion of nursing-care assistant robots in smart infrastructure has provided more applications for homecare services, which has raised new demands for smart and natural interaction between humans and robots. This article proposed an innovative hand motion trajectory (HMT) gesture recognition system based on background velocity features. Here, a new wearable wrist-worn camera prototype for gesture’s video collection was designed, and a new method for the segmentation of continuous gestures was shown. Meanwhile, a nursing-care assistant robot prototype was designed for assisting the elderly, which is capable of carrying the elderly with omnidirectional motion and grabbing the specified object at home. In order to evaluate the performance of the gesture recognition system, 10 special gestures were defined as the move commands for interaction with the robot, and 1000 HMT gesture samples were obtained from five subjects for leave-one-subject-out (LOSO) cross-validation classification with an average recognition accuracy of up to 97.34%. Moreover, the performance and practicability of the proposed system were further demonstrated by controlling the omnidirectional movement of the nursing-care assistant robot using the predefined gesture commands. 	Geng Yang	10.3390/app8122349 	Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects	Voice interface appeared to have a great potential to ease daily living for elderly and frail persons and would be better accepted than more intrusive solutions. 	Smart homes equipped with ambient intelligence technology constitute a promising direction to enable the growing number of elderly to continue to live in their own home as long as possible. However, this calls for technological solutions that suit their specific needs and capabilities. The SWEET-HOME project aims at developing a new user friendly technology for home automation based on voice command. This paper reports a user evaluation assessing the acceptance and fear of this new technology. Eight healthy persons between 71 and 88 years old, 7 relatives (child, grandchild or friend) and 3 professional carers participated in a user evaluation. During about 45 min, the persons were questioned in co-discovery in the DOMUS smart home alternating between interview and wizard of Oz periods followed by a debriefing. The experience aimed at testing four important aspects of the project: voice command, communication with the outside world, domotics system interrupting a person’s activity, and electronic agenda. Voice interface appeared to have a great potential to ease daily living for elderly and frail persons and would be better accepted than more intrusive solutions. By considering still healthy and independent elderly people in the user evaluation, an interesting finding that came up is their overall acceptance provided the system does not drive them to a lazy lifestyle by taking control of everything. This particular fear must be addressed for the development of smart homes that support daily living by giving them more ability to control rather than putting them away from the daily routine. 	François Portet	10.1007/s00779-011-0470-5 	bad
Trends in voice characteristics in patients with heart failure (VENTURE) in Switzerland: Protocol for a longitudinal observational pilot study	Further, a voice monitoring system may ease the interaction with technology for the elderly, as studies have shown the use of voice interfaces appears to be easier and more acceptable for older and frail people [17–19]. 	Heart Failure (HF) is a major health and economic issue worldwide. HF-related expenses are largely driven by hospital admissions and re-admissions, many of which are potentially preventable. Current self-management programs, however, have failed to reduce hospital admissions. This may be explained by their low predictive power for decompensation and high adherence requirements. Slight alterations in the voice profile may allow to detect decompensation in HF patients at an earlier stage and reduce hospitalizations. This pilot study investigates the potential of voice as a digital biomarker to predict health status deterioration in HF patients. 	Fan Wu	10.1371/journal.pone.0283052 	Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects	Voice interface appeared to have a great potential to ease daily living for elderly and frail persons and would be better accepted than more intrusive solutions. 	Smart homes equipped with ambient intelligence technology constitute a promising direction to enable the growing number of elderly to continue to live in their own home as long as possible. However, this calls for technological solutions that suit their specific needs and capabilities. The SWEET-HOME project aims at developing a new user friendly technology for home automation based on voice command. This paper reports a user evaluation assessing the acceptance and fear of this new technology. Eight healthy persons between 71 and 88 years old, 7 relatives (child, grandchild or friend) and 3 professional carers participated in a user evaluation. During about 45 min, the persons were questioned in co-discovery in the DOMUS smart home alternating between interview and wizard of Oz periods followed by a debriefing. The experience aimed at testing four important aspects of the project: voice command, communication with the outside world, domotics system interrupting a person’s activity, and electronic agenda. Voice interface appeared to have a great potential to ease daily living for elderly and frail persons and would be better accepted than more intrusive solutions. By considering still healthy and independent elderly people in the user evaluation, an interesting finding that came up is their overall acceptance provided the system does not drive them to a lazy lifestyle by taking control of everything. This particular fear must be addressed for the development of smart homes that support daily living by giving them more ability to control rather than putting them away from the daily routine. 	François Portet	10.1007/s00779-011-0470-5 	good
ARticulate: One-Shot Interactions with Intelligent Assistants in Unfamiliar Smart Spaces Using Augmented Reality	Elderly people are a significant user demographic that has been shown in prior smart home work to have unique interaction desires and constraints [36, 37].	Smart space technologies have entered the mainstream home market. Most users currently interact with smart homes that they (or an acquaintance) have set up and know well. However, as these technologies spread to commercial or public environments, users will need to frequently interact with unfamiliar smart spaces where they are unaware of the available capabilities and the system maintainer will not be present to help. Users will need to quickly and independently 1) discover what is and is not possible, and 2) make use of available functionality. Widespread adoption of smart space systems will not be possible until this discoverability issue is solved. We design and evaluate ARticulate, an interface that allows users to have successful smart space interactions with an intelligent assistant while learning transferable information about the overall set of devices in an unfamiliar space. Our method of using Snapchat-like contextual photo messages enhanced by two technologies---augmented reality and autocomplete---allows users to determine available functionality and achieve their goals in one attempt with a smart space they have never seen before, something no existing interface supports. The ability to easily operate unfamiliar smart spaces improves the usability of existing systems and removes a significant obstacle to the vision of ubiquitous computing. 	Meghan Clark	10.1145/3517235 	Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects	Smart homes equipped with ambient intelligence technology constitute a promising direction to enable the growing number of elderly to continue to live in their own homes as long as possible. However, this calls for technological solutions that suit their specific needs and capabilities. 	Smart homes equipped with ambient intelligence technology constitute a promising direction to enable the growing number of elderly to continue to live in their own home as long as possible. However, this calls for technological solutions that suit their specific needs and capabilities. The SWEET-HOME project aims at developing a new user friendly technology for home automation based on voice command. This paper reports a user evaluation assessing the acceptance and fear of this new technology. Eight healthy persons between 71 and 88 years old, 7 relatives (child, grandchild or friend) and 3 professional carers participated in a user evaluation. During about 45 min, the persons were questioned in co-discovery in the DOMUS smart home alternating between interview and wizard of Oz periods followed by a debriefing. The experience aimed at testing four important aspects of the project: voice command, communication with the outside world, domotics system interrupting a person’s activity, and electronic agenda. Voice interface appeared to have a great potential to ease daily living for elderly and frail persons and would be better accepted than more intrusive solutions. By considering still healthy and independent elderly people in the user evaluation, an interesting finding that came up is their overall acceptance provided the system does not drive them to a lazy lifestyle by taking control of everything. This particular fear must be addressed for the development of smart homes that support daily living by giving them more ability to control rather than putting them away from the daily routine. 	François Portet	10.1007/s00779-011-0470-5 	bad
The contribution of source–filter theory to mammal vocalcommunication research	The  interaction  between  emotional/motivational  state,acoustic output and facial expression is a largely unexploredbranch of vocal communication(also see Ohala, 1984;Auberge ́& Cathiard, 2003; Chuenwattanapranithiet al.,2008; Drahotaet al., 2008)	The field of animal vocal communication has benefited greatly from improved understanding of vocal production mechanisms and specifically from the generalization of the source–filter theory of speech production to non-human mammals. The application of the source–filter theory has enabled researchers to decompose the acoustic structure of vocal signals according to their mode of production and thereby to predict the acoustic variation that is caused by anatomical or physiological attributes of the caller. The source–filter theory states that vocal signals result from a two-stage production, with the glottal wave generated in the larynx (the source), being subsequently filtered in the supralaryngeal vocal tract (the filter). This theory predicts that independent indexical information such as body size, weight, age and sex can be contained in both the glottal wave (mostly characterized by its fundamental frequency), and the spectral envelope of the radiated vocalization (mostly characterized by the vocal tract resonances or formant frequencies). Additionally, physiological fluctuations in emotional or motivational state have been found to influence the acoustic characteristics of signals in a reliable and predictable manner that is perceptually available to receivers. While animal vocalizations contain some dynamic attributes, their static attributes are sufficient to provide an effective means of acoustic individual discrimination both within and across call types. In this paper, we draw together a wealth of experimental work conducted within the source–filter framework over the last decade and we review how such experiments have elucidated the communicative value of animal vocalizations. 	A. M. Taylor	10.1111/j.1469-7998.2009.00661.x 	Can we hear the prosody of smile? 	There are many studies of the facial expressions of emotions, but only a few are concerned with equivalent vocal expressions (Banse and Scherer, 1996; Mozziconnaci, 1998; Scherer, 1986), and even fewer with the integration of audio and visual modalities in the perception of emotional expressions (Massaro, 2000). 	Visual expression alone (a smile or a laugh) is often enough to identify an emotion such as amusement:in a perception task, subjects correctly identified visual and audio–visual stimuli of amused speech to the same degree (Proceedings of ICSLP, Sydney, 1998, p. 559), but even from the acoustic signal alone it has been demonstrated that the consequences of a (mechanical) smile gesture can be perceived as amusement (JASA 96 (1994) 2101). A hypothesis developed in the present work is that the expression of amusement in speech involves specific control of prosody and cannot be reduced simply to a change in voice quality as a consequence of the facial smile gesture. Speech stimuli were produced by French speakers for various tasks (spontaneous amusement, simulated amusement, mechanical smiling, ...), and in a first experiment, listeners were able to identify speech from the spontaneous smile condition as more amused than the ‘‘mechanical smile’’. It was shown from a second experiment that, even under clear visual conditions, the auditory modality contributes to audio–visual perception. A McGurk paradigm applied to discordant amused/mechanical stimuli clearly showed that acoustic information interacts with the visual decoding. The stimuli were analysed using a set of parameters chosen following Tartter (Percept. Psychophys. 27 (1980) 24), Banse and Scherer (J. Pers. Soc. Psych. 170 (1996) 614) and Mozziconacci (PhD Thesis, Eindhoren University, 1998). The prosodic parameters affected in the expression of amusement are primarily intensity and F0 declination, but they are different for different speakers. Our results confirm the finding by Mozziconacci (PhD Thesis, Eindhoren University, 1998), that there may be numerous ways of using the same parameters to express emotions such as amusement. 	Veronique Auberge 	10.1016/S0167-6393(02)00077-8 	good
