citing_context	cited_abs	Cos_similarity	cited_author	Category
Then Boussinesq 's approximation , governing equations such flow form partial differential equation will become 	study planned screen marine actinobacterial extract for protease inhibitor activity and anti- Pf activity under vitro and vivo conditions . Out 100 isolates , only 3 isolates exhibited moderate high protease inhibitor activities on trypsin , chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates chosen for further studies . potential isolate characterized by polyphasic approach and identified Streptomyces sp LK3 ( JF710608 ) . lead compound identified peptide Streptomyces sp LK3 . double - reciprocal plot displayed inhibition mode non - competitive and confirms irreversible nature protease inhibitor . peptide Streptomyces sp LK3 extract showed significant anti plasmodial activity ( IC50 : 25.78 mg / ml ) . vivo model , highest level parasitemia suppression ( < 45 % ) observed 600 mg / kg peptide . analyses revealed no significant changes observed spleen and liver tissue during 8 dpi . results confirmed up - regulation TGF - b and down regulation TNF - tissue and serum level PbA infected peptide treated mice compared PbA infection . results obtained infer peptide possesses anti- Pf activity activity . suggests extracts have novel metabolites and could considered potential source for drug development . 	0.10056573152542114	L. Karthik 	bad
Such dual approach moreover allows for determination national / international research interests well performance particular field ( case droughts ) order pre - inform national / international future research plans , priorities , fund allocations , and partnership outsourcing for collaborations , among other things 	study planned screen marine actinobacterial extract for protease inhibitor activity and anti- Pf activity under vitro and vivo conditions . Out 100 isolates , only 3 isolates exhibited moderate high protease inhibitor activities on trypsin , chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates chosen for further studies . potential isolate characterized by polyphasic approach and identified Streptomyces sp LK3 ( JF710608 ) . lead compound identified peptide Streptomyces sp LK3 . double - reciprocal plot displayed inhibition mode non - competitive and confirms irreversible nature protease inhibitor . peptide Streptomyces sp LK3 extract showed significant anti plasmodial activity ( IC50 : 25.78 mg / ml ) . vivo model , highest level parasitemia suppression ( < 45 % ) observed 600 mg / kg peptide . analyses revealed no significant changes observed spleen and liver tissue during 8 dpi . results confirmed up - regulation TGF - b and down regulation TNF - tissue and serum level PbA infected peptide treated mice compared PbA infection . results obtained infer peptide possesses anti- Pf activity activity . suggests extracts have novel metabolites and could considered potential source for drug development . 	0.12042919546365738	L. Karthik 	bad
without clear information liable misinformation and growing body literature reveals link between misinformation and mental illness 	study planned screen marine actinobacterial extract for protease inhibitor activity and anti- Pf activity under vitro and vivo conditions . Out 100 isolates , only 3 isolates exhibited moderate high protease inhibitor activities on trypsin , chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates chosen for further studies . potential isolate characterized by polyphasic approach and identified Streptomyces sp LK3 ( JF710608 ) . lead compound identified peptide Streptomyces sp LK3 . double - reciprocal plot displayed inhibition mode non - competitive and confirms irreversible nature protease inhibitor . peptide Streptomyces sp LK3 extract showed significant anti plasmodial activity ( IC50 : 25.78 mg / ml ) . vivo model , highest level parasitemia suppression ( < 45 % ) observed 600 mg / kg peptide . analyses revealed no significant changes observed spleen and liver tissue during 8 dpi . results confirmed up - regulation TGF - b and down regulation TNF - tissue and serum level PbA infected peptide treated mice compared PbA infection . results obtained infer peptide possesses anti- Pf activity activity . suggests extracts have novel metabolites and could considered potential source for drug development . 	0.13221494853496552	L. Karthik 	bad
transformer models 	dominant sequence transduction models based on complex recurrent or convolutional neural networks include encoder and decoder . best performing models also connect encoder and decoder through attention mechanism . propose new simple network architecture , Transformer , based solely on attention mechanisms , dispensing with recurrence and convolutions entirely . Experiments on two machine translation tasks show models superior quality while more parallelizable and requiring significantly less time train . model achieves 28.4 BLEU on WMT 2014 Englishto - German translation task , improving existing best results , including ensembles , by 2 BLEU . On WMT 2014 English - - French translation task , model establishes new single - model state - - - art BLEU score 41.8 after training for 3.5 days on eight GPUs , small fraction training costs best models literature . show Transformer generalizes well other tasks by applying successfully English constituency parsing both with large and limited training data . 	0.12521807849407196	Ashish Vaswani 	good
parallel , success attention - based networks for language processing 	dominant sequence transduction models based on complex recurrent or convolutional neural networks include encoder and decoder . best performing models also connect encoder and decoder through attention mechanism . propose new simple network architecture , Transformer , based solely on attention mechanisms , dispensing with recurrence and convolutions entirely . Experiments on two machine translation tasks show models superior quality while more parallelizable and requiring significantly less time train . model achieves 28.4 BLEU on WMT 2014 Englishto - German translation task , improving existing best results , including ensembles , by 2 BLEU . On WMT 2014 English - - French translation task , model establishes new single - model state - - - art BLEU score 41.8 after training for 3.5 days on eight GPUs , small fraction training costs best models literature . show Transformer generalizes well other tasks by applying successfully English constituency parsing both with large and limited training data . 	0.15852884948253632	Ashish Vaswani 	good
SWEET - HOME [ 21 ] nationally supported French research project aims design new smart home system based on audio technology . project three main goals : providing audio - based interaction technology lets users have full control home environment , detecting distress situations and easing social inclusion elderly and frail population 	Smart homes equipped with ambient intelligence technology constitute promising direction enable growing number elderly continue live own home long possible . However , calls for technological solutions suit specific needs and capabilities .   SWEET - HOME   project aims developing new user friendly technology for home automation based on voice command . paper reports user evaluation assessing acceptance and fear new technology . Eight healthy persons between 71 and 88   years old , 7 relatives ( child , grandchild or friend ) and 3 professional carers participated user evaluation . During about 45 min , persons questioned co - discovery   DOMUS   smart home alternating between interview and wizard Oz periods followed by debriefing . experience aimed testing four important aspects project : voice command , communication with outside world , domotics system interrupting person ’s activity , and electronic agenda . Voice interface appeared have great potential ease daily living for elderly and frail persons and would better accepted than more intrusive solutions . By considering still healthy and independent elderly people user evaluation , interesting finding came up overall acceptance provided system not drive lazy lifestyle by taking control everything . particular fear must addressed for development smart homes support daily living by giving more ability control rather than putting away daily routine . 	0.2201811671257019	François Portet	good
Assessing acceptability smart home equipped with VUI by elderly people , Portet et al [ 38 ] showed voice technology great potential ease everyday life for elderly 	Smart homes equipped with ambient intelligence technology constitute promising direction enable growing number elderly continue live own home long possible . However , calls for technological solutions suit specific needs and capabilities .   SWEET - HOME   project aims developing new user friendly technology for home automation based on voice command . paper reports user evaluation assessing acceptance and fear new technology . Eight healthy persons between 71 and 88   years old , 7 relatives ( child , grandchild or friend ) and 3 professional carers participated user evaluation . During about 45 min , persons questioned co - discovery   DOMUS   smart home alternating between interview and wizard Oz periods followed by debriefing . experience aimed testing four important aspects project : voice command , communication with outside world , domotics system interrupting person ’s activity , and electronic agenda . Voice interface appeared have great potential ease daily living for elderly and frail persons and would better accepted than more intrusive solutions . By considering still healthy and independent elderly people user evaluation , interesting finding came up overall acceptance provided system not drive lazy lifestyle by taking control everything . particular fear must addressed for development smart homes support daily living by giving more ability control rather than putting away daily routine . 	0.19251978397369385	François Portet	good
  Therefore , endowing robots with human - like voice communication capabilities will enhance overall interaction between robots and users . will ultimately increase rapport between users and robotic assistants , allowing users receive more sophisticated service robot companions [ 21 ] , [ 26 ] 	Smart homes equipped with ambient intelligence technology constitute promising direction enable growing number elderly continue live own home long possible . However , calls for technological solutions suit specific needs and capabilities .   SWEET - HOME   project aims developing new user friendly technology for home automation based on voice command . paper reports user evaluation assessing acceptance and fear new technology . Eight healthy persons between 71 and 88   years old , 7 relatives ( child , grandchild or friend ) and 3 professional carers participated user evaluation . During about 45 min , persons questioned co - discovery   DOMUS   smart home alternating between interview and wizard Oz periods followed by debriefing . experience aimed testing four important aspects project : voice command , communication with outside world , domotics system interrupting person ’s activity , and electronic agenda . Voice interface appeared have great potential ease daily living for elderly and frail persons and would better accepted than more intrusive solutions . By considering still healthy and independent elderly people user evaluation , interesting finding came up overall acceptance provided system not drive lazy lifestyle by taking control everything . particular fear must addressed for development smart homes support daily living by giving more ability control rather than putting away daily routine . 	0.1483532041311264	François Portet	bad
Providing more natural and intelligent interaction modes [ 4,5 ] with nursing - care assistant robots [ 6 ] one frontiers smart infrastructure development [ 7 ] . 	Smart homes equipped with ambient intelligence technology constitute promising direction enable growing number elderly continue live own home long possible . However , calls for technological solutions suit specific needs and capabilities .   SWEET - HOME   project aims developing new user friendly technology for home automation based on voice command . paper reports user evaluation assessing acceptance and fear new technology . Eight healthy persons between 71 and 88   years old , 7 relatives ( child , grandchild or friend ) and 3 professional carers participated user evaluation . During about 45 min , persons questioned co - discovery   DOMUS   smart home alternating between interview and wizard Oz periods followed by debriefing . experience aimed testing four important aspects project : voice command , communication with outside world , domotics system interrupting person ’s activity , and electronic agenda . Voice interface appeared have great potential ease daily living for elderly and frail persons and would better accepted than more intrusive solutions . By considering still healthy and independent elderly people user evaluation , interesting finding came up overall acceptance provided system not drive lazy lifestyle by taking control everything . particular fear must addressed for development smart homes support daily living by giving more ability control rather than putting away daily routine . 	0.16491438448429108	François Portet	bad
Further , voice monitoring system may ease interaction with technology for elderly , studies have shown use voice interfaces appears easier and more acceptable for older and frail people [ 17–19 ] . 	Smart homes equipped with ambient intelligence technology constitute promising direction enable growing number elderly continue live own home long possible . However , calls for technological solutions suit specific needs and capabilities .   SWEET - HOME   project aims developing new user friendly technology for home automation based on voice command . paper reports user evaluation assessing acceptance and fear new technology . Eight healthy persons between 71 and 88   years old , 7 relatives ( child , grandchild or friend ) and 3 professional carers participated user evaluation . During about 45 min , persons questioned co - discovery   DOMUS   smart home alternating between interview and wizard Oz periods followed by debriefing . experience aimed testing four important aspects project : voice command , communication with outside world , domotics system interrupting person ’s activity , and electronic agenda . Voice interface appeared have great potential ease daily living for elderly and frail persons and would better accepted than more intrusive solutions . By considering still healthy and independent elderly people user evaluation , interesting finding came up overall acceptance provided system not drive lazy lifestyle by taking control everything . particular fear must addressed for development smart homes support daily living by giving more ability control rather than putting away daily routine . 	0.16583207249641418	François Portet	good
Elderly people significant user demographic shown prior smart home work have unique interaction desires and constraints [ 36 , 37 ] . 	Smart homes equipped with ambient intelligence technology constitute promising direction enable growing number elderly continue live own home long possible . However , calls for technological solutions suit specific needs and capabilities .   SWEET - HOME   project aims developing new user friendly technology for home automation based on voice command . paper reports user evaluation assessing acceptance and fear new technology . Eight healthy persons between 71 and 88   years old , 7 relatives ( child , grandchild or friend ) and 3 professional carers participated user evaluation . During about 45 min , persons questioned co - discovery   DOMUS   smart home alternating between interview and wizard Oz periods followed by debriefing . experience aimed testing four important aspects project : voice command , communication with outside world , domotics system interrupting person ’s activity , and electronic agenda . Voice interface appeared have great potential ease daily living for elderly and frail persons and would better accepted than more intrusive solutions . By considering still healthy and independent elderly people user evaluation , interesting finding came up overall acceptance provided system not drive lazy lifestyle by taking control everything . particular fear must addressed for development smart homes support daily living by giving more ability control rather than putting away daily routine . 	0.17077641189098358	François Portet	bad
  interaction   between   emotional / motivational   state , acoustic output and facial expression largely unexploredbranch vocal communication(also see Ohala , 1984;Auberge ́ & Cathiard , 2003 ; Chuenwattanapranithiet al . ,2008 ; Drahotaet al . , 2008 ) 	Visual expression alone ( smile or laugh ) often enough identify emotion such amusement : perception task , subjects correctly identified visual and audio – visual stimuli amused speech same degree ( Proceedings ICSLP , Sydney , 1998 , p. 559 ) , but even acoustic signal alone demonstrated consequences ( mechanical ) smile gesture can perceived amusement ( JASA 96 ( 1994 ) 2101 ) . hypothesis developed present work expression amusement speech involves specific control prosody and can not reduced simply change voice quality consequence facial smile gesture . Speech stimuli produced by French speakers for various tasks ( spontaneous amusement , simulated amusement , mechanical smiling , ... ) , and first experiment , listeners able identify speech spontaneous smile condition more amused than ‘ ‘ mechanical smile ’’ . shown second experiment , even under clear visual conditions , auditory modality contributes audio – visual perception . McGurk paradigm applied discordant amused / mechanical stimuli clearly showed acoustic information interacts with visual decoding . stimuli analysed using set parameters chosen following Tartter ( Percept . Psychophys . 27 ( 1980 ) 24 ) , Banse and Scherer ( J. Pers . Soc . Psych . 170 ( 1996 ) 614 ) and Mozziconacci ( PhD Thesis , Eindhoren University , 1998 ) . prosodic parameters affected expression amusement primarily intensity and F0 declination , but different for different speakers . results confirm finding by Mozziconacci ( PhD Thesis , Eindhoren University , 1998 ) , may numerous ways using same parameters express emotions such amusement . 	0.11453190445899963	Veronique Auberge 	good
